L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
1	1	1	N.L.10		8392.3058	BLECH	MARTINV	TOLT DURAL DE 1735X790X4 PEINTURE „GRAIN DE CUIR” BLANCHE	MP2_MASZYNA	TRANSLINE 1228
2	1	2	N.L.20	1699	6538.0005	LAUFRINNE	GGK	GOULOTTE H100XL100 6/4	MP2_MASZYNA	TRANSLINE 1228
3	1	5	N.L.30	1689	6538.0002	LAUFRINNE	GGK	GOULOTTE GF 60X60A6/4 24M	MP2_MASZYNA	TRANSLINE 1228
4	1	6	N.L.40	1696	6538.0001	LAUFRINNE	GGK	GOULOTTE H60XL30 6/4 48M	MP2_MASZYNA	TRANSLINE 1228
5	1	6	N.L.50	AM1 DE 200	6536.0025	PROFILEISEN	N.P.I.	PROFIL DIN CADMIE H=15 L=35 SYMETRIQUE	MP2_MASZYNA	TRANSLINE 1228
6	1	300	N.L.60	115125-00	6510.0048	KLEMME	ENTRLEC	BORNE 25A TYPE M 2,5/5	MP2_MASZYNA	TRANSLINE 1228
7	1	50	N.L.70	115116-07	6510.0061	KLEMME	ENTRLEC	BORNE 35A TYPE M4/6	MP2_MASZYNA	TRANSLINE 1228
8	1	20	N.L.80	165114-17	6540.0070	KLEMME	ENTRLEC	BORNE VERT/JAUNE M6/BP	MP2_MASZYNA	TRANSLINE 1228
9	1	2	N.L.90	2802-0	6514.0006	STANGE	FGET	BARRE NEUTRE NUE T NSCH 1000X15X2	MP2_MASZYNA	TRANSLINE 1228
10	1	20	N.L.100	2724-0	6514.0009	ANSCHLUSS	FGET	RACCORD BARRE NEUTREE A B TYPE ANSO	MP2_MASZYNA	TRANSLINE 1228
11	1	30	N.L.110	2801-0	6514.0007	BUEGEL	FGET	ETRIER DE SERRAGE P/BARRE NEUTRE T DS	MP2_MASZYNA	TRANSLINE 1228
12	1	30	N.L.120	2967-0	6514.0008	SCHRAUBE	FGET	VIS DE SERRAGE P BARRE N M5X3 TYPE BS	MP2_MASZYNA	TRANSLINE 1228
13	1	10	N.L.130	118368-16	6510.0062	FLANSCH	ENTRLEC	FLANSQUE D’EXTERMITE FEM6	MP2_MASZYNA	TRANSLINE 1228
14	1	40	N.L.140	174331-21	6510.0050	STEG	ENTRLEC	BARRETTE 2 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
15	1	10	N.L.150	174332-22	6510.0051	STEG	ENTRLEC	BARRETTE 3 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
16	1	5	N.L.160	174333-23	6510.0052	STEG	ENTRLEC	BARRETTE 4 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
17	2	2	N.L.170	174335-25	6510.0054	STEG	ENTRLEC	BARRETTE 10 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
18	2	75	N.L.180	113001-16	6510.0055	TRENNVORRICHTUNG	ENTRLEC	SEPARATEUR CIRCUIT SCM5	MP2_MASZYNA	TRANSLINE 1228
19	2	1	N.L.190	250 222	6570.0139	BRETT		PLANCHE 3 PICTOGRAMMES „ECLAIR DANS TRIANGLE LARG.:90	MP2_MASZYNA	TRANSLINE 1228
20	2	3	CE	907415	8360.0062	STECKER		FICHE MALE 10 CTS 907415  TRELEC	MP2_MASZYNA	TRANSLINE 1228
21	2	3	N.L.520	AM1 DE 200	8536.0025	PROFILEISEN	N.P.I.	PROFIL DIN CADMIE H=15 L=35 SYMETRIQUE	MP2_MASZYNA	TRANSLINE 1228
22	2	300	N.L.530	115125-00	6510.0048	KLEMME	ENTRLEC	BORNE 25A TYPE M 2,5/5	MP2_MASZYNA	TRANSLINE 1228
23	2	70	N.L.540	115116-07	6510.0061	KLEMME	ENTRLEC	BORNE 35A TYPE M4/6	MP2_MASZYNA	TRANSLINE 1228
24	2	30	N.L.550	165113-16	6510.0069	KLEMME	ENTRLEC	BORNE VERT/JAUNE M4/6BP	MP2_MASZYNA	TRANSLINE 1228
25	2	30	N.L.560	165114-17	6510.0070	KLEMME	ENTRLEC	BORNE VERT/JAUNE M6/BP	MP2_MASZYNA	TRANSLINE 1228
